2018-12-19 04:00:02.303238|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-12-19 04:00:02.303448|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-12-19 04:00:02.303488|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-12-19 04:00:02.304577|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-12-19 04:00:02.304641|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-12-19 04:00:02.304956|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-12-19 04:00:02.375408|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-12-19 04:00:02.375650|INFO    |Accounting    |   |Licensing Information
2018-12-19 04:00:02.375681|INFO    |Accounting    |   |licensed to       : Anonymous
2018-12-19 04:00:02.375709|INFO    |Accounting    |   |type              : No License
2018-12-19 04:00:02.375734|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-12-19 04:00:02.375783|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-12-19 04:00:02.375802|INFO    |Accounting    |   |max virtualservers: 1
2018-12-19 04:00:02.375831|INFO    |Accounting    |   |max slots         : 32
2018-12-19 04:00:02.475899|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-12-19 04:00:07.866257|INFO    |              |   |Puzzle precompute time: 5308
2018-12-19 04:00:07.866722|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-12-19 04:00:07.943719|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-12-19 04:00:07.943827|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, 
2018-12-19 19:45:49.399216|INFO    |              |   |Error opening file "files/virtualserver_1/channel_15/8. Hörsaalübung - Hauptachsen und zweiachsige Biegung WS 15-16.pdf": Invalid or incomplete multibyte or wide character
2018-12-19 19:45:55.399772|INFO    |              |   |Error opening file "files/virtualserver_1/channel_15/8. Hörsaalübung - Hauptachsen und zweiachsige Biegung WS 15-16.pdf": Invalid or incomplete multibyte or wide character
2018-12-19 19:46:02.905792|INFO    |              |   |Error opening file "files/virtualserver_1/channel_15/8. Hörsaalübung - Hauptachsen und zweiachsige Biegung WS 15-16.pdf": Invalid or incomplete multibyte or wide character
2018-12-20 04:00:01.805674|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
