2018-08-17 03:00:02.626464|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-08-17 03:00:02.626813|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-08-17 03:00:02.626849|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-08-17 03:00:02.628064|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-08-17 03:00:02.628123|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-08-17 03:00:02.628489|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-08-17 03:00:02.755971|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-08-17 03:00:02.756152|INFO    |Accounting    |   |Licensing Information
2018-08-17 03:00:02.756177|INFO    |Accounting    |   |licensed to       : Anonymous
2018-08-17 03:00:02.756196|INFO    |Accounting    |   |type              : No License
2018-08-17 03:00:02.756219|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-08-17 03:00:02.756237|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-08-17 03:00:02.756253|INFO    |Accounting    |   |max virtualservers: 1
2018-08-17 03:00:02.756269|INFO    |Accounting    |   |max slots         : 32
2018-08-17 03:00:02.935119|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-08-17 03:00:06.939585|INFO    |              |   |Puzzle precompute time: 4064
2018-08-17 03:00:06.940099|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-08-17 03:00:06.970634|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-08-17 03:00:06.970967|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, 
2018-08-17 14:46:31.144997|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: -3 (Temporary failure in name resolution) 11
2018-08-18 03:00:01.570187|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
