2015-01-20 00:47:16.114096|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-01-20 00:53:23.439457|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Channel Admin'(id:5) by client 'k1d.'(id:4) in channel '&#1632;&#1632;&#1632;&#8226;&#8226;&#9679;Away from Keyboard&#9679;&#8226;&#8226;&#1632;&#1632;&#1632;'(id:19)
2015-01-20 00:53:31.268054|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Channel Admin'(id:5) by client 'k1d.'(id:4) in channel '&#1632;&#1632;&#1632;&#8226;&#8226;&#9679;Away from Keyboard&#9679;&#8226;&#8226;&#1632;&#1632;&#1632;'(id:19)
2015-01-20 00:53:50.633740|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Channel Admin'(id:5) by client 'k1d.'(id:4) in channel '&#1632;&#1632;&#1632;&#8226;&#8226;&#9679;Away from Keyboard&#9679;&#8226;&#8226;&#1632;&#1632;&#1632;'(id:19)
2015-01-20 00:53:59.361158|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Guest'(id:8) by client 'k1d.'(id:4) in channel 'AFK'(id:25)
2015-01-20 00:54:14.124720|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Channel Admin'(id:5) by client 'k1d.'(id:4) in channel '&#1632;&#1632;&#1632;&#8226;&#8226;&#9679;Counter Strike&#9679;&#8226;&#8226;&#1632;&#1632;&#1632;'(id:14)
2015-01-20 00:54:20.340910|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Guest'(id:8) by client 'k1d.'(id:4) in channel '&#9500; Public'(id:16)
2015-01-20 00:54:26.820150|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Channel Admin'(id:5) by client 'k1d.'(id:4) in channel '&#1632;&#1632;&#1632;&#8226;&#8226;&#9679;World of Warcraft&#9679;&#8226;&#8226;&#1632;&#1632;&#1632;'(id:9)
2015-01-20 00:54:31.209293|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Guest'(id:8) by client 'k1d.'(id:4) in channel '&#9484; Trashtalk'(id:10)
2015-01-20 00:54:39.423230|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Guest'(id:8) by client 'k1d.'(id:4) in channel '&#9500; Lounge II'(id:22)
2015-01-20 00:54:52.606605|INFO    |VirtualServer |  1| client 'k1d.'(id:4) was added to channelgroup 'Guest'(id:8) by client 'k1d.'(id:4) in channel '&#9492; Lounge III'(id:24)
