2015-04-13 03:00:05.377479|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-04-13 13:10:02.017761|INFO    |VirtualServer |  1| client (id:6) was added to servergroup 'Female'(id:11) by client 'Shin Tschan'(id:6)
2015-04-13 13:10:23.862262|INFO    |VirtualServer |  1| client (id:132) was added to servergroup 'Female'(id:11) by client 'Shin Tschan'(id:6)
2015-04-13 13:10:56.725585|INFO    |VirtualServer |  1| client (id:8) was added to servergroup 'Male'(id:10) by client 'Shin Tschan'(id:6)
2015-04-13 13:11:04.988289|INFO    |VirtualServer |  1| client (id:91) was added to servergroup 'Female'(id:11) by client 'Shin Tschan'(id:6)
2015-04-13 13:11:39.725502|INFO    |VirtualServer |  1| client (id:6) was removed from servergroup 'Female'(id:11) by client 'Shin Tschan'(id:6)
2015-04-13 13:11:50.392430|INFO    |VirtualServer |  1| client (id:91) was removed from servergroup 'Female'(id:11) by client 'Shin Tschan'(id:6)
2015-04-13 13:11:54.282666|INFO    |VirtualServer |  1| client (id:8) was removed from servergroup 'Female'(id:11) by client 'Shin Tschan'(id:6)
2015-04-14 01:24:28.259626|INFO    |VirtualServer |  1| client (id:377) was added to servergroup 'Male'(id:10) by client '&#12483;k1d'(id:4)
2015-04-14 03:00:02.035148|INFO    |VirtualServerBase|  1| stopped
