2018-09-04 03:00:02.118436|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-09-04 03:00:02.118593|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-09-04 03:00:02.118629|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-09-04 03:00:02.119591|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-09-04 03:00:02.119636|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-09-04 03:00:02.119942|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-09-04 03:00:02.189688|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-09-04 03:00:02.189922|INFO    |Accounting    |   |Licensing Information
2018-09-04 03:00:02.189949|INFO    |Accounting    |   |licensed to       : Anonymous
2018-09-04 03:00:02.189969|INFO    |Accounting    |   |type              : No License
2018-09-04 03:00:02.189997|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-09-04 03:00:02.190016|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-09-04 03:00:02.190032|INFO    |Accounting    |   |max virtualservers: 1
2018-09-04 03:00:02.190048|INFO    |Accounting    |   |max slots         : 32
2018-09-04 03:00:02.268893|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-09-04 03:00:06.457520|INFO    |              |   |Puzzle precompute time: 4106
2018-09-04 03:00:06.458018|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-09-04 03:00:06.485784|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-09-04 03:00:06.485897|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, 
2018-09-05 03:00:01.624615|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
