2018-08-14 21:08:02.669785|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-08-14 21:08:02.669946|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-08-14 21:08:02.669976|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-08-14 21:08:02.670688|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-08-14 21:08:02.670718|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-08-14 21:08:02.670967|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-08-14 21:08:02.687508|INFO    |SQL           |   |database updated successfully to revision: 25
2018-08-14 21:08:02.688361|INFO    |SQL           |   |database updated successfully to revision: 26
2018-08-14 21:08:02.690143|INFO    |SQL           |   |database updated successfully to revision: 27
2018-08-14 21:08:02.692353|INFO    |SQL           |   |database updated successfully to revision: 28
2018-08-14 21:08:02.695522|INFO    |SQL           |   |database updated successfully to revision: 29
2018-08-14 21:08:02.696537|INFO    |DatabaseQuery |   |database busy, waiting for finishing index tasks, may take some time!
