2018-08-22 03:00:02.478330|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-08-22 03:00:02.478448|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-08-22 03:00:02.478476|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-08-22 03:00:02.479257|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-08-22 03:00:02.479287|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-08-22 03:00:02.479513|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-08-22 03:00:02.544654|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-08-22 03:00:02.546860|INFO    |Accounting    |   |Licensing Information
2018-08-22 03:00:02.546909|INFO    |Accounting    |   |licensed to       : Anonymous
2018-08-22 03:00:02.546930|INFO    |Accounting    |   |type              : No License
2018-08-22 03:00:02.546953|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-08-22 03:00:02.546972|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-08-22 03:00:02.546988|INFO    |Accounting    |   |max virtualservers: 1
2018-08-22 03:00:02.547004|INFO    |Accounting    |   |max slots         : 32
2018-08-22 03:00:02.652737|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-08-22 03:00:06.068012|INFO    |              |   |Puzzle precompute time: 3396
2018-08-22 03:00:06.068495|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-08-22 03:00:06.135544|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-08-22 03:00:06.135784|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, 
2018-08-22 03:05:08.020028|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:05:10.033913|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:15:06.286376|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:15:08.045098|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:15:10.033810|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:25:06.370486|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:25:08.033769|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2018-08-22 03:25:10.050567|ERROR   |              |   |TS3ANetwork::Send failed error: 111
