2018-08-14 21:13:08.442151|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-08-14 21:13:08.442440|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-08-14 21:13:08.442479|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-08-14 21:13:08.444036|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-08-14 21:13:08.444146|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-08-14 21:13:08.444943|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-08-14 21:13:08.481795|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-08-14 21:13:08.483017|INFO    |Accounting    |   |Licensing Information
2018-08-14 21:13:08.483065|INFO    |Accounting    |   |licensed to       : Anonymous
2018-08-14 21:13:08.483086|INFO    |Accounting    |   |type              : No License
2018-08-14 21:13:08.483112|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-08-14 21:13:08.483131|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-08-14 21:13:08.483148|INFO    |Accounting    |   |max virtualservers: 1
2018-08-14 21:13:08.483164|INFO    |Accounting    |   |max slots         : 32
2018-08-14 21:13:08.635289|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-08-14 21:13:12.662146|INFO    |              |   |Puzzle precompute time: 4009
2018-08-14 21:13:12.662751|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-08-14 21:13:12.736282|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-08-14 21:13:12.736549|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, 
2018-08-14 21:13:18.636852|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
2018-08-14 21:13:18.636938|INFO    |ServerMain    |   |Received signal SIGHUP, shutting down.
