2018-10-17 03:00:02.915108|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.3.0 (2018-07-31 16:10:01)
2018-10-17 03:00:02.915252|INFO    |ServerLibPriv |   |SystemInformation: Linux 2.6.32-48-pve #1 SMP Fri Dec 23 10:22:54 CET 2016 x86_64 Binary: 64bit
2018-10-17 03:00:02.915281|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2018-10-17 03:00:02.916118|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-10-17 03:00:02.916152|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-10-17 03:00:02.916395|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-10-17 03:00:02.968075|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-10-17 03:00:02.968266|INFO    |Accounting    |   |Licensing Information
2018-10-17 03:00:02.968292|INFO    |Accounting    |   |licensed to       : Anonymous
2018-10-17 03:00:02.968312|INFO    |Accounting    |   |type              : No License
2018-10-17 03:00:02.968336|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-10-17 03:00:02.968354|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-10-17 03:00:02.968371|INFO    |Accounting    |   |max virtualservers: 1
2018-10-17 03:00:02.968390|INFO    |Accounting    |   |max slots         : 32
2018-10-17 03:00:03.072590|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-10-17 03:00:06.854288|INFO    |              |   |Puzzle precompute time: 3717
2018-10-17 03:00:06.854788|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-10-17 03:00:06.882265|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-10-17 03:00:06.882364|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, 
2018-10-18 03:00:01.523341|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
