2015-01-19 23:19:44.820040|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_modify_description'(id:32994) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.822643|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_modify_own_description'(id:32995) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.825196|INFO    |VirtualServer |  1| permission 'b_virtualserver_channelgroup_create'(id:160) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.827837|INFO    |VirtualServer |  1| permission 'b_virtualserver_servergroup_delete'(id:169) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.830551|INFO    |VirtualServer |  1| permission 'b_virtualserver_channelgroup_delete'(id:170) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.833222|INFO    |VirtualServer |  1| permission 'b_client_skip_channelgroup_permissions'(id:178) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.835871|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_ban_power'(id:32968) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.838594|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_ban_list'(id:32977) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.841274|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_ban_create'(id:32978) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.843921|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_ban_delete_own'(id:32979) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.846467|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_ban_delete'(id:32980) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.849070|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_ban_max_bantime'(id:32981) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.851593|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_channelgroup_create'(id:32928) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.854118|INFO    |VirtualServer |  1| permission 'b_virtualserver_servergroup_create'(id:159) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.856623|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_servergroup_delete'(id:32937) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.859212|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_channelgroup_delete'(id:32938) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.861728|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_max_avatar_filesize'(id:32943) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.864263|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_client_skip_channelgroup_permissions'(id:32946) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.866829|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_max_icon_filesize'(id:32911) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.869419|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_icon_manage'(id:32912) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.871917|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_servergroup_create'(id:32927) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.874524|INFO    |VirtualServer |  1| permission 'b_channel_delete_permanent'(id:125) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.877122|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_parent'(id:32873) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.879716|INFO    |VirtualServer |  1| permission 'b_virtualserver_token_list'(id:36) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.882245|INFO    |VirtualServer |  1| permission 'b_virtualserver_token_add'(id:37) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.884797|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_name'(id:32878) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.887371|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_topic'(id:32879) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.889946|INFO    |VirtualServer |  1| permission 'b_virtualserver_token_delete'(id:39) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.892505|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_description'(id:32880) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.895069|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_password'(id:32881) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.897663|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_codec'(id:32882) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.900217|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_codec_quality'(id:32883) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.902684|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_codec_latency_factor'(id:32884) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.905189|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_maxclients'(id:32885) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.907702|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_maxfamilyclients'(id:32886) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.910163|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_sortorder'(id:32887) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.912610|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_needed_talk_power'(id:32888) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.915079|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_modify_make_codec_encrypted'(id:32891) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.917524|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_channel_delete_permanent'(id:32893) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.920015|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_icon_id'(id:32838) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.922585|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_weblist'(id:32839) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.925042|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_codec_encryption_mode'(id:32840) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.927519|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_token_list'(id:32804) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.930014|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_token_add'(id:32805) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.932451|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_token_delete'(id:32807) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.934885|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_join_ignore_password'(id:32810) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.937349|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_name'(id:32816) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.939828|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_welcomemessage'(id:32817) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.942272|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_maxclients'(id:32818) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.944695|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_reserved_slots'(id:32819) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.947126|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_password'(id:32820) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.949598|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_ft_settings'(id:32827) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.952017|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_ft_quotas'(id:32828) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
2015-01-19 23:19:44.954425|INFO    |VirtualServer |  1| permission 'i_needed_modify_power_virtualserver_modify_hostmessage'(id:32829) was deleted by 'k1d'(id:4) from servergroup 'Admin'(id:6)
